Product_sku_0,Place_name_0,Total_Price_0,Price_per_meter_0,Land_Area_0,Certificate_0,Land_Dimensions_0,Property_Type_0,Ad_Type_0,Place_PostalAddress_addressLocality_0,BreadcrumbList_ListItem_name_2,BreadcrumbList_ListItem_name_3,Product_description_0
,"HARGA TERBAIK! Tanah Kawasan Johar Baru, Luas 566m², Area Premium","Rp8,77 Miliar Total","Harga per m² Rp.15,5 Juta",LT566 m²,SHM,,,,"Johar Baru, Jakarta Pusat",Jakarta Pusat,johar baru,
,"HARGA MENARIK! Tanah Kawasan Menteng, Luas 1500m², Lokasi Berkembang","Rp52,5 Miliar Total",Harga per m² Rp.35 Juta,LT1500 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"HARGA TERBAIK! Tanah Kawasan Senen, Luas 4241m², Dekat Jalan Raya, Area Berkembang",Rp169 Miliar Total,"Harga per m² Rp.39,9 Juta",LT4241 m²,Lainnya,,,,"Senen, Jakarta Pusat",Jakarta Pusat,senen,
,"Dijual Tanah di Johar Baru, Luas 566m², Area Potensial","Rp8,77 Miliar Total","Harga per m² Rp.15,5 Juta",LT566 m²,SHM,,,,"Johar Baru, Jakarta Pusat",Jakarta Pusat,johar baru,
,"HARGA TERBAIK! Tanah Kawasan Kramat, Luas 280m², Lokasi Premium","Rp6,5 Miliar Total","Harga per m² Rp.23,2 Juta",LT280 m²,SHM,,,,"Kramat, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Area Berkembang Kawasan Bungur, Luas 289m², Akses ke Fasilitas","Rp4,85 Miliar Total",lebih hemat,LT289 m²,SHM,,,,"Bungur, Jakarta Pusat",Jakarta Pusat,senen,
,"Tanah Premium Kawasan Gajah Mada, Luas 288m², Dekat Gajah Mada, Jakarta Pusat, Jakarta Pusat","Rp8,64 Miliar Total",Harga per m² Rp.30 Juta,LT288 m²,SHM,,,,"Gajah Mada, Jakarta Pusat",Jakarta Pusat,Gajah Mada,
,"LOKASI STRATEGIS! Tanah Kawasan Menteng, Luas 996m², Lingkungan Asri, Cocok untuk Hunian","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Dijual Tanah Lokasi Strategis Kawasan Menteng, Luas 996m², Dekat Menteng, Jakarta Pusat, Jakarta Pusat","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,SHM,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Jual Tanah Area Berkembang Kawasan Menteng, Luas 996m², Dekat Menteng, Jakarta Pusat, Jakarta Pusat","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Bisnis di Menteng, Luas 996m², Lokasi Strategis","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Lokasi Strategis di Menteng, Luas 996m², Kawasan Nyaman, Akses Menteng, Jakarta Pusat, Jakarta Pusat","Rp84,6 Miliar Total",Harga per m² Rp.85 Juta,LT996 m²,Lainnya,,,,"Menteng, Jakarta Pusat",Jakarta Pusat,menteng,
,"Tanah Strategis Kawasan Kemayoran, Luas 1455m2m², Cocok untuk Perumahan",Rp33 Miliar Total,"Harga per m² Rp.22,6 Juta",LT1455 m²,Lainnya,,,,"Kemayoran, Jakarta Pusat",Jakarta Pusat,kemayoran,
,"HARGA MENARIK! Tanah di Gunung Sahari, Luas 24500m², Area Nyaman",Rp815 Miliar Total,"Harga per m² Rp.33,3 Juta",LT24500 m²,Lainnya,,,,"Gunung Sahari, Jakarta Pusat",Jakarta Pusat,Gunung Sahari,
